"Antigen","Infection.Data.Type","Age.Group","Max.Delay","Median","Lower","Upper"
"HlyE","Indicator","10-14y",100,46136.0019056631,21640.3687098009,81523.1040444531
"LPS02","Indicator","10-14y",100,46182.8426387235,21530.2359186903,81815.0791761515
"Vi","Indicator","10-14y",100,18875.2333854159,5539.10969862053,44727.6017359181
"CdtB","Indicator","10-14y",100,35146.5377423448,14503.7566944795,67338.7848252566
"LPS09","Indicator","10-14y",100,57466.9982925146,29913.5953456386,97104.530169091
"YncE","Indicator","10-14y",100,40102.7028050741,18149.9240768027,73959.529229636
"Flic","Indicator","10-14y",100,18423.8058282917,4319.66424953508,48823.6153984134
"HlyE","Probability","10-14y",100,30319.4146338585,10324.1344421502,63668.6082784743
"LPS02","Probability","10-14y",100,27862.5836627387,8014.37416457192,62669.7988858857
"Vi","Probability","10-14y",100,9536.5232309806,2.78501543618109,34687.4225813605
"CdtB","Probability","10-14y",100,18083.5397191426,4179.41139717521,45821.5118046293
"LPS09","Probability","10-14y",100,39748.4413916194,15870.5638411816,76511.8402529178
"YncE","Probability","10-14y",100,20871.7145603323,4805.24108319306,52062.4492491869
"Flic","Probability","10-14y",100,7.70581671023692,0.138712260466678,8467.15720387021
"HlyE","Indicator","15-29y",100,24799.0702051582,8655.45974880113,54120.9379361588
"LPS02","Indicator","15-29y",100,41285.0832633555,18417.8664077583,75579.8189173004
"Vi","Indicator","15-29y",100,52824.6370861226,26084.4231054395,91185.7568441187
"CdtB","Indicator","15-29y",100,13979.0240843404,3339.80279005178,37069.2037017086
"LPS09","Indicator","15-29y",100,24753.9644306604,8710.54450443078,53800.3613777971
"YncE","Indicator","15-29y",100,24799.0702051582,8655.45974880113,54120.9379361588
"Flic","Indicator","15-29y",100,46.5368278331227,3.99414952508515,5471.17486843857
"HlyE","Probability","15-29y",100,17758.7229449275,4184.61528030928,45922.7013402189
"LPS02","Probability","15-29y",100,23645.8876907568,6320.82430651229,55214.8338104125
"Vi","Probability","15-29y",100,29100.1128970581,8146.44964106071,64749.1080107608
"CdtB","Probability","15-29y",100,4703.90195610156,190.506147501365,23450.4485372275
"LPS09","Probability","15-29y",100,21475.9149884403,5146.72196846687,51477.1553925936
"YncE","Probability","15-29y",100,10616.5410001135,1420.09610888881,34923.5982994476
"Flic","Probability","15-29y",100,53.6731593890307,1.82556086471896,6169.83399222971
"HlyE","Indicator","30+",100,16846.9878761559,8794.45661914844,29128.8290071957
"LPS02","Indicator","30+",100,35057.6454720069,22505.5222399789,51334.7384475321
"Vi","Indicator","30+",100,10418.5053547319,4566.18669971566,20129.4442218051
"CdtB","Indicator","30+",100,13615.817066517,6424.84873747173,24285.3094823635
"LPS09","Indicator","30+",100,26650.373089875,16110.5128407357,41142.4159197665
"YncE","Indicator","30+",100,29985.9054433453,18527.5566445214,45323.8981366791
"Flic","Indicator","30+",100,12124.0512187397,5109.9248220098,23388.2834166776
"HlyE","Probability","30+",100,10892.5042947246,4376.64914109093,21380.1921276222
"LPS02","Probability","30+",100,18664.6860269102,8662.02180468099,33918.0055487686
"Vi","Probability","30+",100,5337.94336240616,684.781983482202,14852.2950269923
"CdtB","Probability","30+",100,3969.19831603712,321.549554652054,13069.3203047782
"LPS09","Probability","30+",100,15395.4786113992,7074.071962519,28583.7190054037
"YncE","Probability","30+",100,105.938353100473,0.0643481820294207,8991.57439597673
"Flic","Probability","30+",100,7427.72764273822,2268.52684228689,16941.8367682327
"HlyE","Indicator","0-4y",150,67320.822171233,47250.6467016267,91601.3876876595
"LPS02","Indicator","0-4y",150,75704.5551167452,54307.3716415865,101258.799530331
"Vi","Indicator","0-4y",150,54880.1985626446,37296.9039797004,76459.4835046981
"CdtB","Indicator","0-4y",150,50767.373221925,34035.1166455591,71758.0905872201
"LPS09","Indicator","0-4y",150,75496.91924136,54062.1784771547,101467.365446909
"YncE","Indicator","0-4y",150,29740.4794933314,17964.3513525119,46180.3103381147
"Flic","Indicator","0-4y",150,16470.1265591203,7448.38495321011,30636.0812630047
"HlyE","Probability","0-4y",150,56468.733359934,37420.4439819642,80325.5960847599
"LPS02","Probability","0-4y",150,62266.108991774,41108.4480709609,88609.918630683
"Vi","Probability","0-4y",150,36084.4098873654,20566.0262610278,56715.5774384821
"CdtB","Probability","0-4y",150,32463.7565489759,18050.9868979115,52294.5474973134
"LPS09","Probability","0-4y",150,64636.9832029016,43482.307054962,90904.4190899909
"YncE","Probability","0-4y",150,22335.6027330328,11630.6851588825,38021.8514659932
"Flic","Probability","0-4y",150,7620.4051684872,1904.66352267635,19190.0280691974
"HlyE","Indicator","5-9y",150,30788.3036475914,21467.3028121535,42526.0427472423
"LPS02","Indicator","5-9y",150,24722.1323036364,16452.4941993053,35270.3102014246
"Vi","Indicator","5-9y",150,31864.6976457636,22283.5709797204,43826.3115863503
"CdtB","Indicator","5-9y",150,25760.0286028469,17277.3192293793,36620.9099945141
"LPS09","Indicator","5-9y",150,39069.1724217597,28562.5341561414,52437.307754745
"YncE","Indicator","5-9y",150,26863.3507778661,18120.2920699654,37765.5897906737
"Flic","Indicator","5-9y",150,3538.55641595046,838.466689542388,9358.63768444514
"HlyE","Probability","5-9y",150,18951.4383113571,10910.0400257003,29405.0588529085
"LPS02","Probability","5-9y",150,12911.6074322733,6618.60690907761,21861.1877935913
"Vi","Probability","5-9y",150,20326.4068323838,12026.6926507904,31255.6963594394
"CdtB","Probability","5-9y",150,10482.1650367533,4852.47822696791,18908.2774551751
"LPS09","Probability","5-9y",150,30995.2441285591,20926.3773974453,44055.5095119641
