"Antigen","Infection.Data.Type","Age.Group","Max.Delay","Median","Lower","Upper"
"YncE","Probability","30+",100,10123.965208458,5201.17335012232,17110.2077149007
"HlyE","Probability","30+",100,9759.25574637353,5027.89951746728,16632.2930902497
"Flic","Probability","30+",100,14052.8142758845,8164.60612271121,22181.6984184193
"LPS09","Probability","30+",100,24306.8551485397,16162.5789783399,34369.4049349854
"CdtB","Probability","30+",100,8192.47222774401,3813.85874823072,14705.3082120471
"LPS02","Probability","30+",100,22038.9094733537,14202.3316202413,31712.91059737
"Vi","Indicator","0-4y",150,55389.5121481107,45448.2188350274,66767.686078605
"YncE","Indicator","0-4y",150,19996.9512638758,14528.6014438864,26940.0076195289
"HlyE","Indicator","0-4y",150,42603.6696280093,34009.8625440292,52337.507530112
"Flic","Indicator","0-4y",150,35845.6781578791,27959.1739594305,44768.8643452012
"LPS09","Indicator","0-4y",150,96567.8601061194,82830.0219790886,111778.370672382
"CdtB","Indicator","0-4y",150,26035.7256959955,19488.4041139429,33500.4405061814
"LPS02","Indicator","0-4y",150,83049.2824635039,70371.6227465,96991.8691136942
"Vi","Probability","0-4y",150,47031.4857240016,37319.9761633573,58178.7027169422
"YncE","Probability","0-4y",150,8100.08084212433,4398.65675845728,13268.788221716
"HlyE","Probability","0-4y",150,29723.3361880464,21843.861905052,38842.585702476
"Flic","Probability","0-4y",150,23312.5674345659,16595.108040217,31511.4288255497
"LPS09","Probability","0-4y",150,89079.8729909511,75231.5922005347,104618.391321829
"CdtB","Probability","0-4y",150,14946.5536157181,9630.60091439973,21765.3565761447
"LPS02","Probability","0-4y",150,75446.9744093313,62543.8717190295,89699.5837668915
"Vi","Indicator","5-9y",150,49690.8926990432,40027.9023403753,60553.629522197
"YncE","Indicator","5-9y",150,18731.4635757625,13242.7333934105,25779.7940512771
"HlyE","Indicator","5-9y",150,24594.140452009,18073.3541838884,32206.8254976485
"Flic","Indicator","5-9y",150,17000.9350048439,11823.2241442743,23598.5206910154
"LPS09","Indicator","5-9y",150,56517.6284450898,46314.6339358998,68276.4380536415
"CdtB","Indicator","5-9y",150,21681.7046775029,15712.7033256998,29056.4049387822
"LPS02","Indicator","5-9y",150,45420.4585002921,36144.2811241664,55913.9882900977
"Vi","Probability","5-9y",150,43259.4784131958,33888.2828249193,54157.5651395976
"YncE","Probability","5-9y",150,12699.1323330387,8007.28139074804,19032.2249831502
"HlyE","Probability","5-9y",150,17108.3928546633,11366.6886047158,24333.9682390051
"Flic","Probability","5-9y",150,8711.19557746092,4829.14686187554,14169.4123738638
"LPS09","Probability","5-9y",150,46517.9267621977,36549.6518900178,58160.6523857199
"CdtB","Probability","5-9y",150,11716.1229623339,7132.96804254225,17951.0112065002
"LPS02","Probability","5-9y",150,39631.5236645729,30540.1461634194,49971.9597315215
"Vi","Indicator","10-14y",150,32901.3021338822,23437.172556423,44741.0981122995
"YncE","Indicator","10-14y",150,22381.5475241144,14671.6283906612,31868.1079266632
"HlyE","Indicator","10-14y",150,27787.2138574461,19207.0035409173,38471.98552769
"Flic","Indicator","10-14y",150,20433.5114786943,13117.6471316137,29737.9976933504
"LPS09","Indicator","10-14y",150,46474.8499628493,35055.7606625796,60292.2189585035
"CdtB","Indicator","10-14y",150,18641.8180384679,11747.5061382078,27488.757186602
"LPS02","Indicator","10-14y",150,42467.1464566212,31584.7498347316,55736.2526190837
"Vi","Probability","10-14y",150,28465.2552235248,19350.3671450366,39960.3933306617
"YncE","Probability","10-14y",150,9448.45754934281,4449.58229950864,17025.2604263301
"HlyE","Probability","10-14y",150,16620.93218274,9244.56829446256,26160.3987446398
"Flic","Probability","10-14y",150,10458.1322877633,5295.51344941305,18183.8599943713
"LPS09","Probability","10-14y",150,40303.8909410068,28966.6067870678,54184.0662587998
"CdtB","Probability","10-14y",150,8376.98151215071,3495.26332469739,15794.8735567259
"LPS02","Probability","10-14y",150,31208.7558457461,21358.4108170454,43897.9714090095
"Vi","Indicator","15-29y",150,24332.9620979899,17909.9349520724,32162.6356540727
"YncE","Indicator","15-29y",150,26626.6109195118,19833.5791125094,34893.8250237791
"HlyE","Indicator","15-29y",150,19567.5111989889,13882.7800661154,26585.3274302681
"Flic","Indicator","15-29y",150,29553.9993702281,22280.4959149311,38272.8458788991
"LPS09","Indicator","15-29y",150,42366.1354739719,33439.1877836563,52467.8735765305
"CdtB","Indicator","15-29y",150,20757.5038819529,14901.0264424563,28140.3912726929
"LPS02","Indicator","15-29y",150,39813.219620543,31240.8361960415,49772.327546041
"Vi","Probability","15-29y",150,15481.3045068434,10140.5844557264,22412.4785757449
"YncE","Probability","15-29y",150,15602.3063274558,10125.6773533195,22643.3467557427
"HlyE","Probability","15-29y",150,11847.7809759356,7216.3540207845,18197.7983960542
"Flic","Probability","15-29y",150,15462.7755185432,9709.64387053169,22909.1414207916
"LPS09","Probability","15-29y",150,30629.1133168972,22419.3625259902,40176.2090662388
"CdtB","Probability","15-29y",150,12255.8654226126,7514.74713824553,18689.8025630644
"LPS02","Probability","15-29y",150,30975.762860359,22814.6560350315,40357.8885096405
"Vi","Indicator","30+",150,20289.6613860121,15903.0371274408,25412.3263585351
"YncE","Indicator","30+",150,20751.4661757826,16379.3562496427,25957.2376736169
"HlyE","Indicator","30+",150,15150.5222936228,11327.417715436,19444.3250262677
"Flic","Indicator","30+",150,21364.2564153773,16919.8854963282,26754.1608168212
"LPS09","Indicator","30+",150,30988.3161845793,25466.9861076931,37297.2980507554
"CdtB","Indicator","30+",150,20775.3658724906,16398.6061134639,25983.1253062157
"LPS02","Indicator","30+",150,29035.8290132789,23730.8756236765,35146.831090809
"Vi","Probability","30+",150,13848.5362945676,9945.62197946396,18417.4369722125
"YncE","Probability","30+",150,9905.67786101844,6633.22400773811,13955.8869595003
"HlyE","Probability","30+",150,7714.85369854038,4840.36823449566,11411.196204837
"Flic","Probability","30+",150,12011.9516374822,8334.94377704955,16532.4123752041
"LPS09","Probability","30+",150,24050.9091651871,19058.9509198391,30167.6611172015
"CdtB","Probability","30+",150,10896.236126476,7422.04416401044,15403.9373601971
"LPS02","Probability","30+",150,23091.8907263686,18252.5367551445,29068.4712635276
"Vi","Indicator","Standardized",100,30857.3194398563,20334.7761742167,44593.9145729529
"YncE","Indicator","Standardized",100,18205.9476689331,10475.1692572053,29192.3137130088
