"Antigen","Infection.Data.Type","Age.Group","Max.Delay","Median","Lower","Upper"
"HlyE","Probability","30+",100,33945.8109701346,28671.0628157199,39934.3503083948
"LPS09","Probability","30+",100,26942.0841421829,22118.0194835656,32546.371457417
"YncE","Probability","30+",100,18460.8659671049,14436.4994435637,23115.8838038571
"Flic","Probability","30+",100,22257.7107898512,17820.1318217281,27467.5524270251
"Vi","Indicator","0-4y",150,65286.4162287622,57895.3328824459,73255.4260188149
"CdtB","Indicator","0-4y",150,37367.9331677616,31832.0987585126,43655.6577503008
"LPS02","Indicator","0-4y",150,59311.4575808133,52203.9753670412,66938.0010119376
"HlyE","Indicator","0-4y",150,91167.9509485559,82196.790873184,100640.315530103
"LPS09","Indicator","0-4y",150,93720.0361865275,84718.1196507242,103426.106921193
"YncE","Indicator","0-4y",150,45851.731434863,39695.1171988684,52513.693146478
"Flic","Indicator","0-4y",150,52557.9638699426,46099.026874638,59825.531044111
"Vi","Probability","0-4y",150,52001.5604588291,44789.3397769674,60012.610246103
"CdtB","Probability","0-4y",150,25325.0164467394,20425.6691115829,31191.1710367137
"LPS02","Probability","0-4y",150,43497.623608337,36732.3495414647,51209.3194438823
"HlyE","Probability","0-4y",150,84015.741673016,75022.3176887383,93594.1380116056
"LPS09","Probability","0-4y",150,80187.4895650711,71001.6902182044,90067.2807209006
"YncE","Probability","0-4y",150,30755.5355124102,25425.2285813844,37030.6200206471
"Flic","Probability","0-4y",150,34290.4463136998,28359.0679542065,40934.0096834458
"Vi","Indicator","5-9y",150,53257.9672168728,44812.3931635873,62402.7049150027
"CdtB","Indicator","5-9y",150,28659.2607723032,22288.4714483174,35969.4721663394
"LPS02","Indicator","5-9y",150,51628.7038540723,43363.5977511593,60606.1594047284
"HlyE","Indicator","5-9y",150,63036.9598398488,53870.5663802873,73138.3558132836
"LPS09","Indicator","5-9y",150,76282.0772214315,66002.794059242,87381.7110545959
"YncE","Indicator","5-9y",150,42053.5857275569,34689.7798406121,50375.5408425557
"Flic","Indicator","5-9y",150,48318.1320553755,40262.0623702187,57261.7769160176
"Vi","Probability","5-9y",150,38059.9510778707,30085.5786278237,46964.5292755703
"CdtB","Probability","5-9y",150,17542.1768969475,12314.9546280311,24153.3876279417
"LPS02","Probability","5-9y",150,32220.1837771554,24742.8934858717,40730.0544793676
"HlyE","Probability","5-9y",150,52944.4973090488,44109.4163840304,62709.969785909
"LPS09","Probability","5-9y",150,60782.1807451583,50731.4385601189,71981.8041226504
"YncE","Probability","5-9y",150,23676.8097036842,17726.23345049,30892.824130734
"Flic","Probability","5-9y",150,35724.990657436,28133.7413365204,44253.0113594027
"Vi","Indicator","10-14y",150,33735.4008822681,25610.9482801076,42965.5983903107
"CdtB","Indicator","10-14y",150,18845.3667943755,12863.8871843854,26481.8624993919
"LPS02","Indicator","10-14y",150,45868.3598430306,36332.8062814321,56628.7200499429
"HlyE","Indicator","10-14y",150,43705.1278258641,34418.4724656235,54571.3282629164
"LPS09","Indicator","10-14y",150,48323.8567124435,38542.5167802494,59649.1716790455
"YncE","Indicator","10-14y",150,32253.7557947486,24191.5311885639,41501.5985546637
"Flic","Indicator","10-14y",150,32301.1313398054,24336.804128703,41522.5328419744
"Vi","Probability","10-14y",150,24473.9913908196,16958.8903690413,33416.034207315
"CdtB","Probability","10-14y",150,10085.4968324933,5392.58476277482,16762.9173562303
"LPS02","Probability","10-14y",150,28223.9215947746,19921.63783784,38518.0496960087
"HlyE","Probability","10-14y",150,35435.7135391104,26736.4983336039,45471.8791166578
"LPS09","Probability","10-14y",150,39255.9497738744,29511.2418840468,50571.1530100971
"YncE","Probability","10-14y",150,16835.644081135,10822.9047645705,24740.0831492535
"Flic","Probability","10-14y",150,21862.7024846648,14866.940767686,30421.3541117084
"Vi","Indicator","15-29y",150,32846.2148494101,25817.0703812197,41167.3081125501
"CdtB","Indicator","15-29y",150,24420.9051501873,17740.4926102701,32625.0902697336
"LPS02","Indicator","15-29y",150,31906.0399190201,25012.6779228748,40015.450082538
"HlyE","Indicator","15-29y",150,37277.898109482,29649.7803313369,46020.0813161525
"LPS09","Indicator","15-29y",150,40730.5331271346,32598.4831180554,49757.9229227099
"YncE","Indicator","15-29y",150,29830.1639951109,23150.5581973949,37632.6277344808
"Flic","Indicator","15-29y",150,26051.8510979208,19955.8750618258,33462.5266938563
"Vi","Probability","15-29y",150,20234.130970889,14285.8291550842,27469.8336555966
"CdtB","Probability","15-29y",150,10882.6645856652,6288.1359297755,17405.1091221351
"LPS02","Probability","15-29y",150,16765.8398948006,11414.8502720148,23716.6179380814
"HlyE","Probability","15-29y",150,30668.157569942,23491.0741783576,39090.4621133961
"LPS09","Probability","15-29y",150,27635.271101771,20438.0759299174,36073.7351167222
"YncE","Probability","15-29y",150,17471.9189824239,12075.0461631156,24280.1130763385
"Flic","Probability","15-29y",150,18086.2837578955,12707.8192640494,24742.5219870525
"Vi","Indicator","30+",150,29385.3977718102,24961.1425365102,34342.9193131281
"CdtB","Indicator","30+",150,20588.0958264836,16408.4786336416,25478.0206170569
"LPS02","Indicator","30+",150,33885.9197189125,29074.9336880195,39192.6350708541
"HlyE","Indicator","30+",150,41723.7781233958,36365.7011161159,47614.3573640418
"LPS09","Indicator","30+",150,41331.6518959298,36055.942843319,47206.4468900691
"YncE","Indicator","30+",150,29784.1798050454,25332.6667502547,34814.7707655293
"Flic","Indicator","30+",150,36888.0759989265,31949.5563264657,42476.2214240705
"Vi","Probability","30+",150,21258.183899038,17212.6410930417,25940.1472484325
"CdtB","Probability","30+",150,9645.73026530672,6500.27041848706,13523.2718110644
"LPS02","Probability","30+",150,15668.6216869521,11914.4883353975,20035.1290932087
"HlyE","Probability","30+",150,32261.9123520955,27327.0583176656,37850.4531232349
"LPS09","Probability","30+",150,26259.7900091027,21504.8064737301,31645.2691505231
"YncE","Probability","30+",150,18035.2032413831,14248.316648293,22420.1569424247
"Flic","Probability","30+",150,21181.8083027999,16975.5754988985,26007.1118934454
"Vi","Indicator","Standardized",100,38377.2093156622,31531.5585641401,46155.4273633707
"CdtB","Indicator","Standardized",100,24466.1831513223,18608.2347380014,31504.3373549115
"LPS02","Indicator","Standardized",100,40644.235971201,33525.5111231797,48609.8480245101
"HlyE","Indicator","Standardized",100,49804.6952463777,41995.7292426945,58531.5792719607
"LPS09","Indicator","Standardized",100,52148.4530755306,44120.0640014953,61092.3789416932
"YncE","Indicator","Standardized",100,33761.8678491621,27351.9122000218,41092.7279138852
"Flic","Indicator","Standardized",100,37765.0361210031,31156.8346518583,45361.1894025979
"Vi","Probability","Standardized",100,27429.4786288282,21241.1256848229,34789.1265533402
"CdtB","Probability","Standardized",100,12263.6550319639,7987.11512037591,18010.4546663392
"LPS02","Probability","Standardized",100,22572.1987086948,16629.4952413369,29629.7027578787
"HlyE","Probability","Standardized",100,41371.1248577459,33897.9086244646,49861.4859914133
"LPS09","Probability","Standardized",100,38461.2428854549,30957.7736537616,47104.093592046
